hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline
0,17,0.09231211990118027,0.23801393806934357,0.08881199359893799,0.24042300879955292,0.0024090707302093506,0.6470588235294118,0.4117647058823529,0.23529411764705888,0.4117647058823529,0.4117647058823529,0.5714285714285714,0.7,0.00012964535562787205,-0.0766470655798912,0.04576769471168518,0.2859170734882355,-0.09835860521796835,0.0,0.0024090742911486098
1,17,0.05910778045654297,0.20159249007701874,0.05355469137430191,0.18952856957912445,-0.012063920497894287,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.6363636363636364,0.0022791041992604733,-0.12241175770759583,0.05493643134832382,0.1915838122367859,-0.18230966201372276,0.0,-0.0120639390695621
2,17,0.038125380873680115,0.15078450739383698,0.041253674775362015,0.15819983184337616,0.007415324449539185,0.5882352941176471,0.47058823529411764,0.11764705882352944,0.7647058823529411,0.47058823529411764,0.875,0.3333333333333333,0.014859535731375217,-0.009058824740350246,0.0465097539126873,0.20244228839874268,0.29699541679019587,0.0,0.007415323079947163
3,17,0.019585080444812775,0.1137499064207077,0.025823421776294708,0.13566003739833832,0.021910130977630615,0.7647058823529411,0.7058823529411765,0.05882352941176461,0.7058823529411765,0.7058823529411765,0.8333333333333334,0.6,0.02622142620384693,0.07999999821186066,0.042617857456207275,0.14336051046848297,0.46447077672282844,0.0,0.021910131689818483
4,17,0.0179892648011446,0.11011127382516861,0.019587911665439606,0.11264792829751968,0.0025366544723510742,0.6470588235294118,0.6470588235294118,0.0,0.6470588235294118,0.6470588235294118,0.7272727272727273,0.5,0.015186762437224388,0.006941178347915411,0.03808443993330002,0.13995607197284698,0.2923792711459001,0.0,0.0025366513496812683
5,17,0.02246784046292305,0.1241183951497078,0.018844671547412872,0.10978806018829346,-0.014330334961414337,0.4117647058823529,0.5294117647058824,-0.11764705882352944,0.5294117647058824,0.5294117647058824,0.4444444444444444,0.375,-0.0009902931051328778,-0.0059411777183413506,0.04049122333526611,0.13662636280059814,-0.19314589771873206,0.0,-0.014330330469152497
6,17,0.017744526267051697,0.10622240602970123,0.01676892302930355,0.10195242613554001,-0.004269979894161224,0.47058823529411764,0.4117647058823529,0.05882352941176472,0.47058823529411764,0.4117647058823529,0.42857142857142855,0.5,-0.009792215190827847,-0.05499999597668648,0.035236943513154984,0.11347039043903351,-0.19803318057653713,0.0,-0.004269984660341462
7,13,0.004584504757076502,0.05698077008128166,0.007114651147276163,0.07073643058538437,0.013755660504102707,0.7692307692307693,0.23076923076923078,0.5384615384615385,0.3076923076923077,0.23076923076923078,0.6666666666666666,0.8,-0.0198109932243824,-0.0556153878569603,0.03890952840447426,0.05607212334871292,0.31064289171100207,0.0,0.013755653841564285
8,13,0.01755411922931671,0.10885406285524368,0.015508290380239487,0.10496946424245834,-0.0038845986127853394,0.6923076923076923,0.5384615384615384,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.42857142857142855,1.0,-0.023516207933425903,-0.004307691473513842,0.02992151491343975,0.12398099899291992,-0.12380597506325669,0.0,-0.0038846002605098942
9,16,0.09005732834339142,0.22460433840751648,0.09813481569290161,0.22991175949573517,0.005307421088218689,0.5625,0.4375,0.125,0.125,0.4375,0.14285714285714285,0.8888888888888888,-0.02699391171336174,-0.0650625005364418,0.02313472144305706,0.30476945638656616,0.34120734241325457,0.0,0.0053074358147569
10,16,0.07185039669275284,0.22722041606903076,0.07087323069572449,0.2307996302843094,0.0035792142152786255,0.5625,0.4375,0.125,0.125,0.4375,0.14285714285714285,0.8888888888888888,-0.02474590763449669,-0.013249997980892658,0.022137612104415894,0.2654184103012085,-0.06647962459386542,0.0,0.0035792188718914873
11,16,0.04134933650493622,0.16933751106262207,0.03926468268036842,0.16420036554336548,-0.005137145519256592,0.375,0.5625,-0.1875,0.1875,0.5625,0.1111111111111111,0.7142857142857143,-0.01051357388496399,0.05387499928474426,0.02151508815586567,0.1926252394914627,0.04390700447801104,0.0,-0.005137151572853329
12,16,0.02190030738711357,0.11368343979120255,0.020916279405355453,0.11085110157728195,-0.0028323382139205933,0.5,0.6875,-0.1875,0.4375,0.6875,0.45454545454545453,0.6,-0.0027680792845785618,0.023374997079372406,0.02601964771747589,0.14373929798603058,0.016197663137564405,0.0,-0.0028323377482593146
13,16,0.03137432038784027,0.1562213897705078,0.030352246016263962,0.15192647278308868,-0.004294916987419128,0.4375,0.75,-0.3125,0.4375,0.75,0.4166666666666667,0.5,-0.0013689398765563965,0.09849999845027924,0.023767853155732155,0.14850084483623505,0.1723872253941005,0.0,-0.004294916871003812
14,16,0.05109810084104538,0.19415564835071564,0.04906412959098816,0.18473896384239197,-0.00941668450832367,0.4375,0.8125,-0.375,0.375,0.8125,0.38461538461538464,0.6666666666666666,-0.0075639826245605946,0.11556249856948853,0.02286105789244175,0.19329865276813507,0.22052768540012663,0.0,-0.009416672575753186
15,17,0.037822991609573364,0.15202857553958893,0.03765794262290001,0.15337631106376648,0.0013477355241775513,0.5294117647058824,0.47058823529411764,0.05882352941176472,0.35294117647058826,0.47058823529411764,0.375,0.6666666666666666,-0.008005943149328232,0.0282352976500988,0.02521371655166149,0.19293446838855743,0.13874512827488725,0.0,0.0013477279092459012
16,17,0.08258550614118576,0.2115420252084732,0.08236535638570786,0.2019662708044052,-0.009575754404067993,0.4117647058823529,0.7647058823529411,-0.3529411764705882,0.29411764705882354,0.7647058823529411,0.3076923076923077,0.75,-0.01251889206469059,0.10999999940395355,0.030241431668400764,0.2680261433124542,0.3194084586721571,0.0,-0.009575768921743414
17,17,0.13159869611263275,0.2904203236103058,0.1259300708770752,0.2780718207359314,-0.01234850287437439,0.4117647058823529,0.7058823529411765,-0.2941176470588236,0.47058823529411764,0.7058823529411765,0.4166666666666667,0.4,-0.006999630481004715,0.16429410874843597,0.03105086088180542,0.3182976543903351,0.0010312068172723741,0.0,-0.01234852577395299
18,17,0.06354707479476929,0.19543981552124023,0.05715496093034744,0.1870354562997818,-0.008404359221458435,0.5294117647058824,0.5294117647058824,0.0,0.4117647058823529,0.5294117647058824,0.4444444444444444,0.625,0.0014418783830478787,0.047470591962337494,0.046091657131910324,0.23568850755691528,-0.17282660726076812,0.0,-0.008404369246872045
19,17,0.04918835312128067,0.17534659802913666,0.043408364057540894,0.17032958567142487,-0.005017012357711792,0.47058823529411764,0.5294117647058824,-0.05882352941176472,0.47058823529411764,0.5294117647058824,0.4444444444444444,0.5,0.005662750452756882,0.0457058846950531,0.04762040078639984,0.2047945261001587,-0.17310646654195147,0.0,-0.005017021397019129
20,17,0.028706295415759087,0.14119569957256317,0.02778269164264202,0.1306236982345581,-0.010572001338005066,0.4117647058823529,0.5882352941176471,-0.17647058823529416,0.5882352941176471,0.5882352941176471,0.5,0.2857142857142857,0.008394685573875904,0.02329411543905735,0.037875063717365265,0.16592158377170563,0.038205645602188996,0.0,-0.010571994709179685
21,17,0.03982362896203995,0.15146097540855408,0.04211818054318428,0.15475347638130188,0.0032925009727478027,0.47058823529411764,0.5882352941176471,-0.11764705882352944,0.4117647058823529,0.5882352941176471,0.4,0.5714285714285714,0.000714742171112448,0.05452941358089447,0.040598850697278976,0.19974163174629211,0.28469696811963235,0.0,0.0032924913856036465
22,17,0.0607929565012455,0.2032562643289566,0.0575760118663311,0.19864793121814728,-0.004608333110809326,0.35294117647058826,0.6470588235294118,-0.29411764705882354,0.47058823529411764,0.6470588235294118,0.36363636363636365,0.3333333333333333,0.004198867827653885,0.10000000149011612,0.03650788217782974,0.22136102616786957,-0.07929110010890554,0.0,-0.004608359461759829
23,17,0.11009446531534195,0.2596549987792969,0.09711658954620361,0.24232956767082214,-0.01732543110847473,0.23529411764705882,0.5294117647058824,-0.29411764705882354,0.35294117647058826,0.5294117647058824,0.1111111111111111,0.375,-0.00652753422036767,0.029117649421095848,0.03461309149861336,0.3108774721622467,-0.5102497200863031,0.0,-0.01732544442090917
