hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std,direction_head_eval_count,direction_head_active_ratio
0,17,0.08789078891277313,0.22820636630058289,0.08881199359893799,0.24042300879955292,0.012216642498970032,0.5882352941176471,0.4117647058823529,0.17647058823529416,0.5882352941176471,0.4117647058823529,0.7142857142857143,0.5,-6.520748138427734e-05,-0.0766470655798912,0.05823276564478874,0.2859170734882355,0.09350383628657481,0.0,0.012216653620057253,0.7307189106941223,0.3333333333333333,1.0,1.0,0.0,0.537559986114502,0.011353566311299801,12,0.7058823529411765
1,17,0.04709989205002785,0.1807750016450882,0.05355469137430191,0.18952856957912445,0.008753567934036255,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.6363636363636364,-0.019998401403427124,-0.12241175770759583,0.054595597088336945,0.1915838122367859,0.14692888573067442,0.0,0.008753544650971903,0.7636260986328125,0.18181818181818182,1.0,1.0,0.0,0.5486560463905334,0.009304465726017952,11,0.6470588235294118
2,17,0.04279324412345886,0.16135898232460022,0.041253674775362015,0.15819983184337616,-0.00315915048122406,0.5882352941176471,0.47058823529411764,0.11764705882352944,0.29411764705882354,0.47058823529411764,0.375,0.7777777777777778,-0.018238432705402374,-0.009058824740350246,0.03883133828639984,0.20244228839874268,-0.013880079603539316,0.0,-0.003159154809134853,0.684952974319458,0.5,1.0,1.0,0.0,0.541143536567688,0.015377433970570564,6,0.35294117647058826
3,17,0.0281834714114666,0.14547839760780334,0.025823421776294708,0.13566003739833832,-0.009818360209465027,0.4117647058823529,0.7058823529411765,-0.2941176470588236,0.35294117647058826,0.7058823529411765,0.3333333333333333,0.6,-0.014700736850500107,0.07999999821186066,0.036860257387161255,0.14336051046848297,0.25506417504440615,0.0,-0.009818373302764737,0.6184143424034119,0.875,1.0,1.0,0.0,0.547614574432373,0.011287721805274487,8,0.47058823529411764
4,17,0.02036358416080475,0.12044375389814377,0.019587911665439606,0.11264792829751968,-0.0077958256006240845,0.47058823529411764,0.6470588235294118,-0.17647058823529416,0.23529411764705882,0.6470588235294118,0.2727272727272727,0.8333333333333334,-0.017937691882252693,0.006941178347915411,0.03589903935790062,0.13995607197284698,0.11263444730525506,0.0,-0.007795811192516024,0.7330469489097595,0.3333333333333333,1.0,1.0,0.0,0.5421728491783142,0.011225713416934013,6,0.35294117647058826
5,17,0.020630545914173126,0.11853135377168655,0.018844671547412872,0.10978806018829346,-0.008743293583393097,0.5294117647058824,0.5294117647058824,0.0,0.4117647058823529,0.5294117647058824,0.4444444444444444,0.625,-0.02703474834561348,-0.0059411777183413506,0.045917168259620667,0.13662636280059814,0.046986628000246125,0.0,-0.008743286790216668,0.7038273811340332,0.5,1.0,1.0,0.0,0.5484907627105713,0.005374055355787277,6,0.35294117647058826
6,17,0.020207718014717102,0.11860053986310959,0.01676892302930355,0.10195242613554001,-0.01664811372756958,0.35294117647058826,0.4117647058823529,-0.05882352941176466,0.47058823529411764,0.4117647058823529,0.2857142857142857,0.4,-0.0331832692027092,-0.05499999597668648,0.0547914020717144,0.11347039043903351,-0.3099561789047043,0.0,-0.016648111481438667,0.7554395794868469,0.14285714285714285,1.0,1.0,0.0,0.5447671413421631,0.006170057225972414,7,0.4117647058823529
7,13,0.005915393121540546,0.06535295397043228,0.007114651147276163,0.07073643058538437,0.005383476614952087,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.3333333333333333,0.7,-0.039472583681344986,-0.0556153878569603,0.044661737978458405,0.05607212334871292,-0.10303347563834417,0.0,0.005383474268735598,0.7719361186027527,0.0,1.0,0.0,0.0,0.5378032326698303,0.008592630736529827,3,0.23076923076923078
8,13,0.017810450866818428,0.10794801265001297,0.015508290380239487,0.10496946424245834,-0.0029785484075546265,0.6153846153846154,0.5384615384615384,0.07692307692307698,0.15384615384615385,0.5384615384615384,0.2857142857142857,1.0,-0.04022800177335739,-0.004307691473513842,0.039047569036483765,0.12398099899291992,0.03881518395494254,0.0,-0.0029785622341128404,0.7197034955024719,0.4,1.0,1.0,0.0,0.5443403124809265,0.003166568698361516,5,0.38461538461538464
9,16,0.09248437732458115,0.23354306817054749,0.09813481569290161,0.22991175949573517,-0.003631308674812317,0.5,0.4375,0.0625,0.3125,0.4375,0.2857142857142857,0.6666666666666666,-0.04253334552049637,-0.0650625005364418,0.048009417951107025,0.30476945638656616,0.10977871380312194,0.0,-0.003631302795838575,0.7164732813835144,0.4,1.0,1.0,0.0,0.5405683517456055,0.008046766743063927,10,0.625
10,16,0.08362755924463272,0.24236975610256195,0.07087323069572449,0.2307996302843094,-0.011570125818252563,0.5625,0.4375,0.125,0.25,0.4375,0.2857142857142857,0.7777777777777778,-0.035492345690727234,-0.013249997980892658,0.050790321081876755,0.2654184103012085,-0.37484141544181127,0.0,-0.011570130009204146,0.6941902041435242,0.5,1.0,1.0,0.0,0.5422263741493225,0.009923120960593224,12,0.75
11,16,0.051615338772535324,0.18200837075710297,0.03926468268036842,0.16420036554336548,-0.017808005213737488,0.5,0.5625,-0.0625,0.3125,0.5625,0.3333333333333333,0.7142857142857143,-0.030642691999673843,0.05387499928474426,0.04743320867419243,0.1926252394914627,-0.28005901395794547,0.0,-0.01780801487620919,0.6773327589035034,0.625,1.0,1.0,0.0,0.5443308353424072,0.005796397570520639,8,0.5
12,16,0.02393738180398941,0.12867367267608643,0.020916279405355453,0.11085110157728195,-0.017822571098804474,0.375,0.6875,-0.3125,0.4375,0.6875,0.36363636363636365,0.4,-0.02052808180451393,0.023374997079372406,0.04214911162853241,0.14373929798603058,0.035291979767710265,0.0,-0.01782256725709888,0.6782494783401489,0.625,1.0,1.0,0.0,0.5439352989196777,0.012816343456506729,8,0.5
13,16,0.03528044745326042,0.15635547041893005,0.030352246016263962,0.15192647278308868,-0.00442899763584137,0.625,0.75,-0.125,0.375,0.75,0.5,1.0,-0.017841175198554993,0.09849999845027924,0.04207182303071022,0.14850084483623505,0.1662500514017808,0.0,-0.004428992629982542,0.6450605988502502,0.8181818181818182,1.0,1.0,0.0,0.5460013151168823,0.012339053675532341,11,0.6875
14,16,0.05517865717411041,0.19534578919410706,0.04906412959098816,0.18473896384239197,-0.010606825351715088,0.5,0.8125,-0.3125,0.3125,0.8125,0.38461538461538464,1.0,-0.021594936028122902,0.11556249856948853,0.042147696018218994,0.19329865276813507,0.17026336598422934,0.0,-0.010606823081616316,0.6556786894798279,0.75,1.0,1.0,0.0,0.5439543724060059,0.010894387029111385,12,0.75
15,17,0.05280659347772598,0.1700054407119751,0.03765794262290001,0.15337631106376648,-0.016629129648208618,0.4117647058823529,0.47058823529411764,-0.05882352941176472,0.35294117647058826,0.47058823529411764,0.25,0.5555555555555556,-0.016777943819761276,0.0282352976500988,0.05385906249284744,0.19293446838855743,-0.5127332305655402,0.0,-0.016629131565637455,0.6888555884361267,0.4444444444444444,1.0,1.0,0.0,0.540230393409729,0.01408243365585804,9,0.5294117647058824
16,17,0.09141611307859421,0.2242284119129181,0.08236535638570786,0.2019662708044052,-0.02226214110851288,0.29411764705882354,0.7647058823529411,-0.4705882352941176,0.29411764705882354,0.7647058823529411,0.23076923076923078,0.5,-0.011311766691505909,0.10999999940395355,0.05370555445551872,0.2680261433124542,-0.06868153490204504,0.0,-0.022262136013630557,0.6438645720481873,0.7777777777777778,1.0,1.0,0.0,0.5385006070137024,0.011049180291593075,9,0.5294117647058824
17,17,0.13560138642787933,0.2941669523715973,0.1259300708770752,0.2780718207359314,-0.016095131635665894,0.47058823529411764,0.7058823529411765,-0.23529411764705888,0.4117647058823529,0.7058823529411765,0.4166666666666667,0.6,-0.010976706631481647,0.16429410874843597,0.0582292377948761,0.3182976543903351,-0.00478839743581866,0.0,-0.016095173435614396,0.6523593068122864,0.7692307692307693,1.0,1.0,0.0,0.5415729880332947,0.0099391033872962,13,0.7647058823529411
18,17,0.059008289128541946,0.1816864311695099,0.05715496093034744,0.1870354562997818,0.005349025130271912,0.5882352941176471,0.5294117647058824,0.05882352941176472,0.47058823529411764,0.5294117647058824,0.5555555555555556,0.625,0.008587216027081013,0.047470591962337494,0.07436808198690414,0.23568850755691528,0.10221846687344766,0.0,0.005349026171161866,0.697636604309082,0.5555555555555556,1.0,1.0,0.0,0.535426676273346,0.015701083466410637,9,0.5294117647058824
19,17,0.04685596749186516,0.17490306496620178,0.043408364057540894,0.17032958567142487,-0.0045734792947769165,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.5,0.009722761809825897,0.0457058846950531,0.06649406999349594,0.2047945261001587,0.029413022528961157,0.0,-0.00457348471836132,0.6655762791633606,0.7142857142857143,1.0,1.0,0.0,0.5372887253761292,0.01000827644020319,7,0.4117647058823529
20,17,0.03020288236439228,0.1328468918800354,0.02778269164264202,0.1306236982345581,-0.002223193645477295,0.5294117647058824,0.5882352941176471,-0.05882352941176472,0.47058823529411764,0.5882352941176471,0.5,0.5714285714285714,0.009753324091434479,0.02329411543905735,0.05415651202201843,0.16592158377170563,0.024670755449181625,0.0,-0.0022231854827088494,0.6994442343711853,0.5,1.0,1.0,0.0,0.5442035794258118,0.011927945539355278,8,0.47058823529411764
21,17,0.048180725425481796,0.1677430272102356,0.04211818054318428,0.15475347638130188,-0.012989550828933716,0.35294117647058826,0.5882352941176471,-0.23529411764705882,0.4117647058823529,0.5882352941176471,0.3,0.42857142857142855,-0.004817584063857794,0.05452941358089447,0.058382436633110046,0.19974163174629211,-0.0580301497288715,0.0,-0.012989573125891827,0.6797599792480469,0.5555555555555556,1.0,1.0,0.0,0.5399969816207886,0.0091130081564188,9,0.5294117647058824
22,17,0.06951119005680084,0.22090566158294678,0.0575760118663311,0.19864793121814728,-0.0222577303647995,0.35294117647058826,0.6470588235294118,-0.29411764705882354,0.5882352941176471,0.6470588235294118,0.45454545454545453,0.16666666666666666,0.0027027830947190523,0.10000000149011612,0.056829553097486496,0.22136102616786957,-0.3105814695762481,0.0,-0.022257729652611663,0.6412436366081238,0.7777777777777778,1.0,1.0,0.0,0.5418007969856262,0.013939193449914455,9,0.5294117647058824
23,17,0.1291542649269104,0.28313201665878296,0.09711658954620361,0.24232956767082214,-0.040802448987960815,0.29411764705882354,0.5294117647058824,-0.23529411764705882,0.4117647058823529,0.5294117647058824,0.2222222222222222,0.375,-0.013266535475850105,0.029117649421095848,0.06699196994304657,0.3108774721622467,-0.629615520003722,0.0,-0.04080244466005003,0.6771606802940369,0.5,1.0,1.0,0.0,0.5371400713920593,0.013465411961078644,10,0.5882352941176471
