hour,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
0,17,0.09503120183944702,0.2402857542037964,0.08881199359893799,0.24042300879955292,0.00013725459575653076,0.5294117647058824,0.4117647058823529,0.11764705882352944,0.5294117647058824,0.4117647058823529,0.5714285714285714,0.5,0.015318944118916988,-0.0766470655798912,0.0377567782998085,0.2859170734882355,-0.15744399831265296,0.0,0.00013721882201291955,0.7084389328956604,0.35294117647058826,0.9411764705882353,0.8571428571428571,0.0,0.5253179669380188,0.015057641081511974
1,17,0.061950214207172394,0.20335353910923004,0.05355469137430191,0.18952856957912445,-0.01382496953010559,0.5294117647058824,0.35294117647058826,0.1764705882352941,0.5882352941176471,0.35294117647058826,0.6666666666666666,0.45454545454545453,0.018430069088935852,-0.12241175770759583,0.04479462653398514,0.1915838122367859,-0.1982582845876217,0.0,-0.013825002455097771,0.7261472940444946,0.35294117647058826,1.0,1.0,0.0,0.5319272875785828,0.015915412455797195
2,17,0.03968314453959465,0.14983880519866943,0.041253674775362015,0.15819983184337616,0.008361026644706726,0.5294117647058824,0.47058823529411764,0.05882352941176472,0.8235294117647058,0.47058823529411764,0.875,0.2222222222222222,0.03137049078941345,-0.009058824740350246,0.03593520447611809,0.20244228839874268,0.2904273012907004,0.0,0.008361001718131944,0.6997685432434082,0.5294117647058824,0.9411764705882353,1.0,0.1111111111111111,0.5365239977836609,0.018089741468429565
3,17,0.019460126757621765,0.1128530278801918,0.025823421776294708,0.13566003739833832,0.022807009518146515,0.7058823529411765,0.7058823529411765,0.0,0.8823529411764706,0.7058823529411765,0.9166666666666666,0.2,0.04158363118767738,0.07999999821186066,0.035769496113061905,0.14336051046848297,0.37513957344256865,0.0,0.022807000040569746,0.6494521498680115,0.7058823529411765,1.0,1.0,0.0,0.5394706130027771,0.0173138789832592
4,17,0.01945570856332779,0.10757535696029663,0.019587911665439606,0.11264792829751968,0.005072571337223053,0.5882352941176471,0.6470588235294118,-0.05882352941176472,0.8235294117647058,0.6470588235294118,0.8181818181818182,0.16666666666666666,0.029905442148447037,0.006941178347915411,0.030299292877316475,0.13995607197284698,0.18598904457890167,0.0,0.005072563284021976,0.6713935136795044,0.6470588235294118,1.0,1.0,0.0,0.5357650518417358,0.016040168702602386
5,17,0.021320516243577003,0.11618068069219589,0.018844671547412872,0.10978806018829346,-0.006392620503902435,0.5294117647058824,0.5294117647058824,0.0,0.6470588235294118,0.5294117647058824,0.6666666666666666,0.375,0.013714570552110672,-0.0059411777183413506,0.03531185910105705,0.13662636280059814,-0.10575953401598588,0.0,-0.0063926184221225445,0.6944233775138855,0.5294117647058824,1.0,1.0,0.0,0.532616138458252,0.011897535994648933
6,17,0.017769692465662956,0.10048601031303406,0.01676892302930355,0.10195242613554001,0.001466415822505951,0.47058823529411764,0.4117647058823529,0.05882352941176472,0.5882352941176471,0.4117647058823529,0.5714285714285714,0.4,0.004515715874731541,-0.05499999597668648,0.03734250366687775,0.11347039043903351,0.005005486717550134,0.0,0.0014664168633958827,0.6939253807067871,0.4117647058823529,1.0,1.0,0.0,0.5300513505935669,0.01125816348940134
7,13,0.006691962480545044,0.06432704627513885,0.007114651147276163,0.07073643058538437,0.006409384310245514,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.3333333333333333,0.7,-0.0022192252799868584,-0.0556153878569603,0.04289151728153229,0.05607212334871292,0.23761819705787515,0.0,0.006409382250589822,0.7218455076217651,0.23076923076923078,1.0,1.0,0.0,0.5282762050628662,0.014562803320586681
8,13,0.018169794231653214,0.11706124246120453,0.015508290380239487,0.10496946424245834,-0.012091778218746185,0.3076923076923077,0.5384615384615384,-0.23076923076923073,0.3076923076923077,0.5384615384615384,0.14285714285714285,0.5,-0.006953035481274128,-0.004307691473513842,0.03415614366531372,0.12398099899291992,-0.1918505759896248,0.0,-0.012091788463294503,0.6947020292282104,0.5384615384615384,1.0,1.0,0.0,0.5241028070449829,0.012609201483428478
9,16,0.0925845354795456,0.2253224402666092,0.09813481569290161,0.22991175949573517,0.0045893192291259766,0.5625,0.4375,0.125,0.25,0.4375,0.2857142857142857,0.7777777777777778,-0.014871558174490929,-0.0650625005364418,0.03076937608420849,0.30476945638656616,0.2007866125846078,0.0,0.004589326039422295,0.6995750069618225,0.5,0.9375,1.0,0.1111111111111111,0.52181077003479,0.012627562507987022
10,16,0.07701562345027924,0.23650822043418884,0.07087323069572449,0.2307996302843094,-0.005708590149879456,0.5,0.4375,0.0625,0.1875,0.4375,0.14285714285714285,0.7777777777777778,-0.012678775936365128,-0.013249997980892658,0.028827575966715813,0.2654184103012085,-0.37492205433396064,0.0,-0.00570859911385924,0.6912816166877747,0.4375,1.0,1.0,0.0,0.520642101764679,0.013594343326985836
11,16,0.04353196173906326,0.17048540711402893,0.03926468268036842,0.16420036554336548,-0.006285041570663452,0.375,0.5625,-0.1875,0.5625,0.5625,0.4444444444444444,0.2857142857142857,0.0010610241442918777,0.05387499928474426,0.027317920699715614,0.1926252394914627,-0.27478379834337263,0.0,-0.00628503551706672,0.6806169748306274,0.625,0.9375,1.0,0.14285714285714285,0.5251153111457825,0.014150537550449371
12,16,0.02097596973180771,0.11570042371749878,0.020916279405355453,0.11085110157728195,-0.004849322140216827,0.5,0.6875,-0.1875,0.5625,0.6875,0.5454545454545454,0.4,0.0074573904275894165,0.023374997079372406,0.028226613998413086,0.14373929798603058,0.09059363741406665,0.0,-0.0048493201611563685,0.6720839142799377,0.625,0.9375,0.9090909090909091,0.0,0.5244461297988892,0.012667431496083736
13,16,0.030532389879226685,0.15241265296936035,0.030352246016263962,0.15192647278308868,-0.0004861801862716675,0.4375,0.75,-0.3125,0.5625,0.75,0.5,0.25,0.007293221075087786,0.09849999845027924,0.02818651683628559,0.14850084483623505,0.07564592189205283,0.0,-0.00048619299195707885,0.6751880645751953,0.6875,0.9375,0.9166666666666666,0.0,0.523252010345459,0.01130589097738266
14,16,0.048624806106090546,0.18699800968170166,0.04906412959098816,0.18473896384239197,-0.0022590458393096924,0.5625,0.8125,-0.25,0.5,0.8125,0.5384615384615384,0.6666666666666666,0.00018246611580252647,0.11556249856948853,0.029104245826601982,0.19329865276813507,0.25766700292626554,0.0,-0.0022590335574932483,0.6706929206848145,0.8125,1.0,1.0,0.0,0.5213232040405273,0.010452923364937305
15,17,0.0400833897292614,0.15745411813259125,0.03765794262290001,0.15337631106376648,-0.004077807068824768,0.47058823529411764,0.47058823529411764,0.0,0.4117647058823529,0.47058823529411764,0.375,0.5555555555555556,-0.0027819499373435974,0.0282352976500988,0.02801789529621601,0.19293446838855743,-0.10291209252786558,0.0,-0.00407782388741479,0.6910037398338318,0.35294117647058826,0.8823529411764706,0.75,0.0,0.5201048254966736,0.015635168179869652
16,17,0.08362230658531189,0.21321746706962585,0.08236535638570786,0.2019662708044052,-0.011251196265220642,0.35294117647058826,0.7647058823529411,-0.41176470588235287,0.35294117647058826,0.7647058823529411,0.3076923076923077,0.5,-0.00695511419326067,0.10999999940395355,0.028568685054779053,0.2680261433124542,0.1769823058555214,0.0,-0.011251204318421732,0.6769905686378479,0.7647058823529411,0.8823529411764706,0.9230769230769231,0.25,0.5153936147689819,0.01374252513051033
17,17,0.12737031280994415,0.28652578592300415,0.1259300708770752,0.2780718207359314,-0.008453965187072754,0.35294117647058826,0.7058823529411765,-0.35294117647058826,0.4117647058823529,0.7058823529411765,0.3333333333333333,0.4,-0.0003149336262140423,0.16429410874843597,0.033066824078559875,0.3182976543903351,0.10131130738366448,0.0,-0.00845398408744265,0.6801022887229919,0.6470588235294118,0.8235294117647058,0.8333333333333334,0.2,0.5187945365905762,0.013309857808053493
18,17,0.06231560558080673,0.19577205181121826,0.05715496093034744,0.1870354562997818,-0.008736595511436462,0.5882352941176471,0.5294117647058824,0.05882352941176472,0.47058823529411764,0.5294117647058824,0.5555555555555556,0.625,0.009119287133216858,0.047470591962337494,0.04689941555261612,0.23568850755691528,-0.14005101356316338,0.0,-0.008736582034650968,0.703447699546814,0.4117647058823529,0.8823529411764706,0.7777777777777778,0.0,0.5156614184379578,0.014316029846668243
19,17,0.048782214522361755,0.1809260994195938,0.043408364057540894,0.17032958567142487,-0.010596513748168945,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,0.5555555555555556,0.5,0.01436884980648756,0.0457058846950531,0.045320674777030945,0.2047945261001587,-0.2050034636523976,0.0,-0.010596508543719253,0.7006584405899048,0.4117647058823529,0.8823529411764706,0.7777777777777778,0.0,0.5184527039527893,0.016206879168748856
20,17,0.03045414760708809,0.14213527739048004,0.02778269164264202,0.1306236982345581,-0.011511579155921936,0.5294117647058824,0.5882352941176471,-0.05882352941176472,0.7058823529411765,0.5882352941176471,0.7,0.2857142857142857,0.018729018047451973,0.02329411543905735,0.03672293201088905,0.16592158377170563,-0.12758310957369154,0.0,-0.011511573239284416,0.6989554762840271,0.35294117647058826,0.7647058823529411,0.6,0.0,0.5216449499130249,0.018547765910625458
21,17,0.03983476758003235,0.15287503600120544,0.04211818054318428,0.15475347638130188,0.0018784403800964355,0.6470588235294118,0.5882352941176471,0.05882352941176472,0.5882352941176471,0.5882352941176471,0.7,0.5714285714285714,0.012056221254169941,0.05452941358089447,0.038742803037166595,0.19974163174629211,0.21754241027762597,0.0,0.0018784383531002494,0.6788959503173828,0.6470588235294118,0.8235294117647058,0.9,0.2857142857142857,0.5236108899116516,0.018574759364128113
22,17,0.05533884838223457,0.19534257054328918,0.0575760118663311,0.19864793121814728,0.0033053606748580933,0.47058823529411764,0.6470588235294118,-0.17647058823529416,0.7058823529411765,0.6470588235294118,0.6363636363636364,0.16666666666666666,0.01612330786883831,0.10000000149011612,0.03677371144294739,0.22136102616786957,0.1258841488649164,0.0,0.0033053518546854684,0.6748847961425781,0.7647058823529411,0.7647058823529411,0.9090909090909091,0.5,0.5219707489013672,0.016318397596478462
23,17,0.10763981193304062,0.25235313177108765,0.09711658954620361,0.24232956767082214,-0.010023564100265503,0.4117647058823529,0.5294117647058824,-0.11764705882352944,0.6470588235294118,0.5294117647058824,0.5555555555555556,0.25,0.007315132766962051,0.029117649421095848,0.031355101615190506,0.3108774721622467,-0.4891722137765622,0.0,-0.010023543337250456,0.6784193515777588,0.5882352941176471,0.9411764705882353,1.0,0.125,0.5248255133628845,0.016398252919316292
