test_row_index,dataset_row_index,timestamp_jst,future_timestamp_jst,symbol,entry_price,true_delta,pred_delta,baseline_constant_pred_delta,direction_prob_up,direction_logit,error,abs_error,baseline_abs_error,abs_error_improvement_vs_baseline,true_direction,pred_direction,pred_direction_head,direction_match,direction_head_match,direction_head_agrees_with_regression,h1_range_31,h1_rsi_14_31,h1_macd_31,h1_macd_hist_31,h1_ma_gap_sma20_31,h1_ma_gap_sma50_31,h1_close_return_1_31,h1_recent_momentum,h1_trend_consistency
190,2419,2026-02-24 17:00:00,2026-02-24 19:00:00,USDJPY,154.974,0.9739999771118164,0.0497813299298286,0.0073970584198832,0.5229315757751465,0.0917908176779747,-0.9242186471819878,0.9242186471819878,0.9666029186919332,0.04238427150994539,UP,UP,UP,True,,,0.2220000000000084,71.40139505389891,0.1045747784023092,0.0630072499788678,0.2258999999999673,0.1473799999999983,-0.0012245108401433,0.0060000000000002,0.6129032258064516
189,2418,2026-02-24 16:00:00,2026-02-24 18:00:00,USDJPY,155.164,0.9290000200271606,0.0628311410546302,0.0073970584198832,0.5159541368484497,0.0638381987810134,-0.8661688789725304,0.8661688789725304,0.9216029616072774,0.05543408263474703,UP,UP,UP,True,,,0.1410000000000195,74.47089947089836,0.106471642226694,0.0806559262979696,0.4251999999999611,0.3326999999999884,-0.0005217559341686,0.2999999999999829,0.6129032258064516
158,2387,2026-02-23 09:00:00,2026-02-23 11:00:00,USDJPY,154.899,-0.843999981880188,-0.0730530619621276,0.0073970584198832,0.5238986611366272,0.0956674963235855,0.7709469199180603,0.7709469199180603,0.8513970403000712,0.08045012038201094,DOWN,DOWN,UP,True,,,0.1140000000000043,30.62686567164189,-0.0126549917450233,-0.0527830510492608,-0.2785999999999831,-0.149879999999996,-0.0002839753974043,-0.093999999999994,0.5161290322580645
8,2237,2026-02-12 23:00:00,2026-02-13 01:00:00,USDJPY,153.659,-0.6349999904632568,0.101143904030323,0.0073970584198832,0.5056504607200623,0.0226026847958564,0.7361438944935799,0.7361438944935799,0.6423970488831401,-0.09374684561043978,DOWN,UP,UP,False,,,0.4849999999999852,59.77912361952237,-0.083859006613892,0.1109490944289415,0.6306500000000028,0.1030200000000149,0.0022829709932228,0.6279999999999859,0.6129032258064516
9,2238,2026-02-13 00:00:00,2026-02-13 02:00:00,USDJPY,153.264,-0.6209999918937683,0.0632405504584312,0.0073970584198832,0.5178353786468506,0.0713717341423034,0.6842405423521996,0.6842405423521996,0.6283970503136516,-0.05584349203854799,DOWN,UP,UP,False,,,0.4980000000000188,49.95073891625639,-0.0687270410998053,0.1008648479544226,0.2138999999999953,-0.2519199999999841,-0.0025706271679496,0.3460000000000036,0.5806451612903226
102,2331,2026-02-18 23:00:00,2026-02-19 01:00:00,USDJPY,153.68,0.6940000057220459,0.0105738937854766,0.0073970584198832,0.520297646522522,0.0812354087829589,-0.6834261119365692,0.6834261119365692,0.6866029473021626,0.0031768353655934334,UP,UP,UP,True,,,0.2480000000000188,65.65118050266517,0.1220726934536173,0.0245468331865709,0.2003500000000144,0.3196599999999989,-0.0001886681976982,0.0109999999999956,0.5806451612903226
215,2444,2026-02-25 18:00:00,2026-02-25 20:00:00,USDJPY,155.921,0.6380000114440918,-0.0240691304206848,0.0073970584198832,0.5210654139518738,0.0843114852905273,-0.6620691418647766,0.6620691418647766,0.6306029530242085,-0.031466188840568066,UP,DOWN,UP,False,,,0.2370000000000232,54.57516339869309,0.1066700857725209,-0.0363598565589608,0.1276499999999885,0.645859999999999,0.001361514106442,0.4599999999999795,0.5161290322580645
214,2443,2026-02-25 17:00:00,2026-02-25 19:00:00,USDJPY,155.709,0.5950000286102295,-0.0528648607432842,0.0073970584198832,0.5357614159584045,0.1432903558015823,-0.6478648893535137,0.6478648893535137,0.5876029701903462,-0.06026191916316748,UP,DOWN,UP,False,,,0.2680000000000007,51.39860139860149,0.0974451713614996,-0.0546747351097223,-0.0824000000000069,0.4635600000000011,0.0007133767786218,-0.0660000000000025,0.5161290322580645
19,2248,2026-02-13 10:00:00,2026-02-13 12:00:00,USDJPY,152.789,0.4740000069141388,-0.0956889688968658,0.0073970584198832,0.5215489268302917,0.0862491801381111,-0.5696889758110046,0.5696889758110046,0.4666029484942555,-0.10308602731674915,UP,DOWN,UP,False,,,0.2099999999999795,47.55855498213537,-0.1461592518330974,-0.0035567977773738,-0.1777500000000031,-0.3898600000000272,0.000740129424402,-0.1420000000000243,0.5161290322580645
6,2235,2026-02-12 21:00:00,2026-02-12 23:00:00,USDJPY,153.115,0.5440000295639038,-0.0174595844000577,0.0073970584198832,0.5261818766593933,0.1048232093453407,-0.5614596139639616,0.5614596139639616,0.5366029711440206,-0.024856642819941044,UP,DOWN,UP,False,,,0.2139999999999986,48.16191656340354,-0.1788947072318762,0.0637441831827042,0.1075000000000159,-0.5100599999999815,0.0013275609500889,0.0150000000000147,0.5483870967741935
281,2510,2026-03-02 14:00:00,2026-03-02 16:00:00,USDJPY,156.318,0.515999972820282,-0.0366599932312965,0.0073970584198832,0.5424391627311707,0.1701661050319671,-0.5526599660515785,0.5526599660515785,0.5086029144003987,-0.04405705165117979,UP,DOWN,UP,False,,,0.1829999999999927,54.72186287192824,0.0820919825570172,0.0268866296729848,0.1825000000000045,0.2640399999999943,0.0002111527017949,0.1950000000000216,0.5161290322580645
0,2229,2026-02-12 15:00:00,2026-02-12 17:00:00,USDJPY,152.855,0.4580000042915344,-0.0888768136501312,0.0073970584198832,0.5393491387367249,0.1577227115631103,-0.5468768179416656,0.5468768179416656,0.4506029458716512,-0.09627387207001448,UP,DOWN,UP,False,,,0.4299999999999784,39.94537384772953,-0.3191687643878822,0.0126519355889009,-0.2766000000000019,-1.0503599999999835,0.001946800561098,-0.4120000000000061,0.5161290322580645
289,2518,2026-03-02 22:00:00,2026-03-03 00:00:00,USDJPY,156.963,0.5569999814033508,0.0307397283613681,0.0073970584198832,0.5333206653594971,0.1334805190563202,-0.5262602530419827,0.5262602530419827,0.5496029229834676,0.023342669941484928,UP,UP,UP,True,,,0.1479999999999961,73.76033057851268,0.2453094164515619,0.056099552160634,0.4930500000000108,0.7634999999999934,0.0002995233118356,0.0769999999999981,0.6129032258064516
216,2445,2026-02-25 19:00:00,2026-02-25 21:00:00,USDJPY,156.304,0.4639999866485595,-0.0595134571194648,0.0073970584198832,0.5222074389457703,0.0888883247971534,-0.5235134437680244,0.5235134437680244,0.4566029282286763,-0.06691051553934813,UP,DOWN,UP,False,,,0.3950000000000102,62.0218579234974,0.1432346758577978,0.0001637868210528,0.4895499999999799,0.992100000000022,0.0024563721371722,0.4850000000000136,0.5161290322580645
126,2355,2026-02-19 23:00:00,2026-02-20 01:00:00,USDJPY,154.8,0.414000004529953,-0.0901013910770416,0.0073970584198832,0.5292622447013855,0.1171830147504806,-0.5041013956069946,0.5041013956069946,0.4066029461100697,-0.09749844949692493,UP,DOWN,UP,False,,,0.2709999999999866,52.21864951768541,0.2036535874761114,-0.0816317765283778,-0.051400000000001,0.7209200000000067,0.0011382450331127,-0.1739999999999781,0.5161290322580645
79,2308,2026-02-18 00:00:00,2026-02-18 02:00:00,USDJPY,153.278,0.5199999809265137,0.018081109970808,0.0073970584198832,0.5010350942611694,0.0041403397917747,-0.5019188709557056,0.5019188709557056,0.5126029225066304,0.010684051550924778,UP,UP,UP,True,,,0.3650000000000091,42.5588865096352,-0.0539133341864612,0.0022586109004428,0.0900499999999908,0.1253399999999658,0.0014046503727223,0.5559999999999832,0.5483870967741935
20,2249,2026-02-13 11:00:00,2026-02-13 13:00:00,USDJPY,152.767,0.3889999985694885,-0.0918721407651901,0.0073970584198832,0.5220230221748352,0.0881491750478744,-0.4808721393346786,0.4808721393346786,0.3816029401496053,-0.09926919918507332,UP,DOWN,UP,False,,,0.2309999999999945,42.55774165953768,-0.1415577605958162,0.0008357547679258,-0.1953499999999906,-0.3793799999999976,-0.0001439894233222,-0.1289999999999906,0.5161290322580645
40,2269,2026-02-16 09:00:00,2026-02-16 11:00:00,USDJPY,152.659,0.4379999935626983,-0.0386872217059135,0.0073970584198832,0.5096175670623779,0.0384750515222549,-0.4766872152686119,0.4766872152686119,0.4306029351428151,-0.046084280125796795,UP,DOWN,UP,False,,,0.125,13.586097946285731,-0.116107278606421,-0.0636325258303665,-0.4340500000000133,-0.3619600000000105,0.0003014159999474,-0.1450000000000102,0.5483870967741935
78,2307,2026-02-17 23:00:00,2026-02-18 01:00:00,USDJPY,153.063,0.3889999985694885,-0.0857728421688079,0.0073970584198832,0.5160784721374512,0.0643359422683715,-0.4747728407382965,0.4747728407382965,0.3816029401496053,-0.09316990058869123,UP,DOWN,UP,False,,,0.1270000000000095,36.8080094228498,-0.0764056754507009,-0.0196690776386861,-0.1345000000000027,-0.0912600000000054,-0.0004440642325852,-0.0190000000000054,0.5161290322580645
151,2380,2026-02-21 00:00:00,2026-02-21 02:00:00,USDJPY,155.416,-0.5649999976158142,-0.0911377668380737,0.0073970584198832,0.5389572978019714,0.1561458110809326,0.4738622307777405,0.4738622307777405,0.5723970560356975,0.09853482525795698,DOWN,DOWN,UP,True,,,0.4190000000000111,56.83947532791963,0.135936006204929,-0.0125981179983614,0.223399999999998,0.4818199999999706,0.0010563471001983,-0.132000000000005,0.5161290322580645
